model_name,avg_cosine_similarity,avg_manual_score
word2vec_lemmatized_cbow_window2_dim100,0.9681113600730896,0.9681200000000001
word2vec_lemmatized_cbow_window2_dim300,0.9748571991920472,0.97486
word2vec_lemmatized_cbow_window4_dim100,0.9721705675125122,0.97218
word2vec_lemmatized_cbow_window4_dim300,0.9774297833442688,0.9774200000000001
word2vec_lemmatized_skipgram_window2_dim100,0.9194950819015503,0.9195
word2vec_lemmatized_skipgram_window2_dim300,0.9322811126708984,0.9322799999999999
word2vec_lemmatized_skipgram_window4_dim100,0.932483720779419,0.9324999999999999
word2vec_lemmatized_skipgram_window4_dim300,0.9266340255737304,0.92666
word2vec_stemmed_cbow_window2_dim100,0.9613726615905762,0.9613799999999999
word2vec_stemmed_cbow_window2_dim300,0.9704917311668396,0.9705
word2vec_stemmed_cbow_window4_dim100,0.9745675444602966,0.9745799999999999
word2vec_stemmed_cbow_window4_dim300,0.9787248015403748,0.9787600000000001
word2vec_stemmed_skipgram_window2_dim100,0.9380864977836609,0.93808
word2vec_stemmed_skipgram_window2_dim300,0.9419698715209961,0.94194
word2vec_stemmed_skipgram_window4_dim100,0.9344879150390625,0.93448
word2vec_stemmed_skipgram_window4_dim300,0.9374553680419921,0.9374600000000001
